,features,categorical_target_1,categorical_target_2,continuous_target_1,continous_target_2
110018,"“Today, as in the past,” reads the title of this wine. Rich and full, it was aged on the lees to give extra weight and body. The result is ripe with yellow fruits as well as citrus, with full-bodied flavor. It could well age until 2015.",France,Sauvignon Blanc,92,28.0
14618,"Crisp, dry and searing in acidity, this 100% varietal wine is complex, showing sour lemon and brine notes, with orange blossom tones weaving their way throughout. A delight on the palate, the wine takes on structured weight toward the finish, making sure to leave an impression.",US,Sauvignon Blanc,91,22.0
108512,"Light and lovely, this has just under 2% residual sugar, but it tastes drier than that. Arresting scents of jasmine tea and honeysuckle give it an enticing floral character. It glides into a soft palate dappled with accents of flowers, oils and incense. Includes small amounts of Chardonnay and Gewürztraminer.",US,Riesling,90,10.0
129544,"Borra's blend of 80% Petite Sirah, 10% Syrah and 10% Mourvèdre has three strong personalities vying for attention with Petite Sirah definitely dominant in juicy, blueberry fruit and a core of dusty tannins, with just a suggestion of meaty game. Structured this is a nice wine to pair with a rich risotto or leg of lamb.",US,Red Blend,89,35.0
85383,"The spirit of South Africa's Swartland region shines through on this rustic but fun Shiraz. On the nose, red fruit and a spicy edge lead into big flavors of spice, smoke and fruit. Sturdy tannins give the wine an ageworthy appeal. Pair with grilled meat and heartier flavors for extra enjoyment.",South Africa,Shiraz,87,19.0
97607,"Full bodied and opulent in classic Meursault style, this ripe, yellow-fruited wine is full of ripe fruits layered in wood notes. There's a sense of power and generosity throughout. It's a wine that will develop over the medium term, so drink from 2015.",France,Chardonnay,91,
48087,"This has balsamic aromas of roasted black fruit, autumn leaf, coconut and oak. It feels big, fruity and a bit raw, with black cherry, dark plum and cassis flavors. The finish is dark, spicy and chocolaty. This is totally New World in style, aroma and flavor.",Chile,Cabernet Franc,88,18.0
37917,"Rounded and soft, this has currant and sweet apple flavors balanced with its acidity. It is concentrated and rich, and there's still some aging potential.",France,Champagne Blend,91,90.0
100480,"Soft and gluey, with sweet, jammy flavors of pineapples and butterscotch. Tastes like cough drops.",US,Chardonnay,80,28.0
16586,"Bésoleil gains complexity with each new vintage. Grenache makes up the bulk of the blend, plus 18% Mourvèdre, 11% Cinsault and 6% Syrah. Deliciously spicy with cranberry, raspberry and other red fruit flavors, this tightly wound wine will reward decanting. The minerality and supple tannins suggest that it may be cellared as well.",US,Rhône-style Red Blend,92,45.0
86139,"Delicious apple aromas give a wine that is as fresh as possible, with a pear skin texture. It's bright with almost a prickle on the tongue. Apples, grapefruit and other citrus fruits dominate this mouth-watering wine. Screwcap.",Austria,Grüner Veltliner,89,24.0
33905,"This opens with earthy scents of scorched soil, underbrush and a hint of game. Made with 90% Sangiovese, 10% Canaiolo and Mammolo, the chewy palate offers dried black cherry, ripe plum and ground pepper alongside tightly woven tannins. Drink 2016–2019.",Italy,Red Blend,89,50.0
86914,"Still young, raw and a bit oaky, this well-balanced wine just needs some more time to smooth itself out. All the right elements are there, from the polished fruit to the tangy acids to the toasty oak (slightly more than half is barrel fermented). This is a firm, fruity style, well-made and lively. Best Buy.",US,Chardonnay,88,13.0
60467,"This estate-grown white is consistently yummy, tangy in lemon peel and fresh-squeezed lemon, with a splash of fresh grapefruit. Dry and crisp, it finishes refreshingly, an ideal wine for light appetizers and most rewardingly, raw oysters.",US,Sauvignon Blanc,88,17.0
50799,"Firm, closed wine that exhibits a strong tannin character. The wine is powerful and dense, its black plum fruits lying under the dry structure. There is a touch of alcohol burn—a shame in an otherwise well-made wine.",France,Bordeaux-style Red Blend,86,14.0
122914,"Restrained on the nose, this blend of 41% Grenache, 32% Syrah and 22% Mourvèdre offers black plum, milk chocolate, purple flower and vanilla on the nose. Black peppercorns show strongly on the palate along with black-plum skins and cola, but this still needs some bottle age to emerge to full potential.",US,Rhône-style Red Blend,89,52.0
116087,"Not dry at all, as the label promises, but overtly sweet, with vapid, sugary flavors of raspberries and cola.",US,Rosé,81,14.0
68439,"One of a pair of wines that are named after the soils on which the vines grow, this comes from clay and chalk earth on the terraces of the Lot river. It is structured and still dense, needing several years to mature. Packed tannins still lie over the generous ripe fruits. Drink from 2019.",France,Malbec,90,25.0
75283,"Spicy new-oak flavors dominate the modest fruit notes in this over-worked wine, knocking it off balance.",US,Pinot Noir,84,15.0
22673,"Luscious white peach and apricot flavors are anchored by a steely core of mineral in this easy-drinking but elegant wine. Light bodied but persistent, it's a lip-smacking, sweet wine that finishes with a touch of brambly herbaceousness. Drink now through 2020.",Germany,Riesling,90,17.0
98708,"An almost honeyed nose tells of the 2015 ripeness, but instead leads to a concentrated palate that intriguingly combines peppery spice, savory herbs and rich mellow yeast. All this richness is tempered by a streamlined lemony acidity. This is savory, so make sure to pair it with subtle, expressive food. What a joy.",Austria,Grüner Veltliner,92,28.0
13535,"This is for drinking now with chicken or beef tacos. It defines the approachable style of drink-me-now Pinot Noir, with rich, complex flavors of raspberry and cherry jam, vanilla, buttered toast and cinnamon. The silky texture and vibrant acidity are nearly perfect.",US,Pinot Noir,92,40.0
14635,"Herbal aromas of fynbos and menthol lead the bouquet of this wine, with supporting notes of blackberry, boysenberry and Thin Mint. The medium-weight palate is well balanced, with ample acidity and fine yet structured tannins. Earthy licorice and sweet spice notes grace the medium-length finish. Drink now–2020.",South Africa,Pinotage,90,35.0
32692,"This is the kind of wine that negociant Don Sebastiani & Sons produces so well. For an everyday price, you get a pretty nice Cabernet, dry and spicy, with a good punch of berry fruit.",US,Merlot,87,12.0
118638,"Pure red fruit seems to have a bruised apple edge. The palate is simple and easy-drinking and despite its pretty ruby color comes across as a rosé, with barely a touch of tannin. Chill this for a surprise at a party.",France,Pinot Noir,86,17.0
1317,"A bright, floral fragrance invites one to further explore this softly structured wine. It's layered with ripe red fruit, leather and pepper flavors that are carried into the finish by tight, grippy tannins.",US,Petite Sirah,90,42.0
30886,"With its raisiny aroma that hits the nose first, this lacks desirable freshness. On the light- to medium-bodied palate, a strawberry note surfaces, which leads into the short-lived finish.",US,Rosé,82,14.0
122939,"Full-bodied and plush yet vibrant and imbued with fresh fruit, this is simply superb. The oak is present but never dominant, adding brown sugar and cinnamon elements to blueberry, roasted meat, espresso and black olive notes. A hint of peppery spice also creeps into this impossibly complex wine. The finish combines power, length, freshness and dusty tannins, suggesting that while impressive now, it should age well. Drink now–2030.",Australia,Shiraz,98,125.0
71005,"Aged in neutral oak and 100% varietal, this is a fine value. There is great fruit flavor—raspberry and Bing cherry—supported with natural acidity and just a hint of chocolate. This could be a Dry Creek Zinfandel, in terms of its bright berry fruit and lively acidity.",US,Sangiovese,90,16.0
45673,"A lively crisp wine, flavored with soft pear, green plum oregano, streaked through with vibrant acidity. It's light, fresh, ready to drink.",Portugal,Portuguese White,88,7.0
93685,"Maderized and stalky smelling, with a scratchy palate and grassy, pickled flavors that lean toward strawberry and raspberry.",Spain,Rosé,80,10.0
28552,"A wine so soft it could almost have been sweetened, tasting of candies and fruit bonbons. There is just some acidity, giving it the possibility of being a pleasant apéritif wine. Screwcap.",France,Chardonnay,82,
52846,"This wine is a blend Viognier (60%) and Roussanne. Aromas of almond butter, lees and spice are followed by a broad palate with a creamy feel. The finish lingers.",US,White Blend,89,24.0
83968,"Seems almost Burgundian in this crowd, with its aromas of smoke and white peach and flavors of roasted hazelnuts and grilled peaches. Finishes clean and crisp, with tart, lime-like acidity and hints of smoke.",Australia,Chardonnay,87,18.0
88550,"Kunde's Reserve is all about the oak—rich buttered toast, caramel and butterscotch flavors. It overshadows the underlying fruit, but makes for a decadently pleasant sip.",US,Chardonnay,85,35.0
110798,"A rather closed nose leads to a citric, ever so slightly peppery palate. The body approaches on light feet, with an almost weightless freshness. If you like it feather-light, this is your wine, just a silky touch of bracing acidity and an ultraclean finish.",Austria,Grüner Veltliner,90,26.0
5523,"Aromas of almond skins, pyrazines and spent white fruits struggle to draw you in. This vintage was wet and cool in Galicia, with frost issues, and this shows it. The palate is round but oily in feel, while flavors of saline water, pithy citrus and bitter melon finish peppery and soft, with low acidity.",Spain,Godello,83,17.0
125546,"The plum, fresh herb, cherry and spice aromas of this 100% varietal offering are alluring but restrained. The flavors are sweet, plump and fresh, showing a sense of elegance, with a stretched-out finish.",US,Cabernet Franc,88,36.0
107191,"L'Erta is a Tuscan expression of Chardonnay that opens with a bright, golden color and spicy aromas of candied fruit, citrus, apricot, pear, honey and a touch of spicy saffron. The wine sports a bold, saturated style.",Italy,Chardonnay,88,25.0
99864,"A young wine from a high-acid year, and it's showing a fair amount of earth and green, herbal flavor. The fruit seems just on the edge of ripe, with hints of brambly berry. Well balanced in a tough year.",US,Merlot,86,20.0
114080,"The nose is a little subdued on this wine, offering leather, red fruits and dust. Pomegranate, plum and raspberry elements arise on the palate, with some roasted game and the faintest hint of chopped herbs.",US,Cabernet Franc,85,35.0
40552,"This isn't as big and burly as some Tavels, but it packs a lot of flavor into its medium-bodied frame. Crushed-stone sensations lead the way, followed up by ample fruit, which ranges from peach and melon to red plum. Drink through the end of 2017.",France,Rosé,90,24.0
34432,"Dark violet-red in color, this wine offers a bouquet of blackberry, cassis and smoked meat. It opens softly on the palate with blueberry, cherry and white chocolate flavors, buttressed by firm but not overpowering tannins and a touch of smoke. The slightly drying finish features a soft burst of cranberry.",Israel,Cabernet Sauvignon-Merlot,89,12.0
46304,"The fruit for this provocatively named bottling is sourced from the lower Waihopai, or “Spy Valley” section of Marlborough. It's a medium-bodied, supple wine that places the emphasis on earthy notes of beetroot and clove, and then adds in cherry fruit and vanillin. Long, savory and spicy on the finish.",New Zealand,Pinot Noir,89,30.0
42044,"This red blend, made of 65% Syrah, 28% Mourvèdre and 7% Tannat is a fresh and fruity wine that's ready to drink now. Dark berries and a touch of sweet oak flesh out the mouth, with a clean and refreshing finish.",South Africa,Red Blend,85,15.0
113258,"Tight, dry and still astringent, this should evolve slowly over the next 10 years. It has a bright ruby color, and it opens with a compact berry note followed by elegant tones of spice and white truffle.",Italy,Nebbiolo,91,
83839,"A huge, harsh Cabernet without much in the way of varietal character.",US,Cabernet Sauvignon,81,30.0
120000,"Black sage, wispy black cherry, dried violets, star anise and a woody character combine for a wondrous nose on this wine by regional pioneer Dan Lee. It's rich on the palate, with clove and nutmeg adding complexity to the plum, dried cherry and fennel bulb flavors.",US,Pinot Noir,92,58.0
47182,"Made with 83% Cabernet Sauvignon and 12% Merlot accompanied by 5% of the indigenous variety Feteasca Neagra, this wine offers a fruit-heavy bouquet of black cherry and damson plum. Dark plum and height of summer cherry flavors continue on the palate, aided by a refined note of graphite. A fine network of velvety tannins retreat as a splash of brightness makes its appearance on the finish.",Romania,Red Blend,90,58.0
77177,"Edelzwicker is an Alsatian term meaning noble blend, and is applied to any blend of white wine grapes. Here it includes Gewürztraminer, Pinot Gris and Riesling. This white is substantial and fruit-driven more than floral in this new vintage. Apple, pear and nectarine flavors carry a light touch of mint. It's very refreshing, well balanced and distinctive.",US,Edelzwicker,90,28.0
96829,"Gamy aromas of rare beef and raw lamb show on the nose of this bottling, with black peppercorn, teriyaki and a touch of caramel. The flavors are a bit primary, with Concord grape jelly, blueberry jam and candied lilac, as well as a vanilla-bean oakiness.",US,Syrah,85,28.0
2893,"The top wine from Domaine de Cause, it's huge, very dense and concentrated. There is a sense of extraction, showcased by the licorice and dark chocolate flavors. This needs to calm down to give the rich fruits a chance to shine. Give this wine 6–7 years.",France,Malbec,91,48.0
126731,"With only 2,940 bottles produced, this is a limited-edition wine that's worth the hunt. Vanilla and oaky spice aromas immediately waft from the glass, with the core of dark berries and fleshy plum fruit following shortly after. Heavy and bold on the palate, the firm structure complements the concentrated blackberry and cherry flavors. Nuances of cocoa powder and tea leaves linger on the close.",Israel,Carignan,90,56.0
122016,"A rather high-toned note akin to resin appears at first but quickly turns into the sweet notion of fir honey. The palate is honeyed, too, with a rich, almost candied center of caramelised peach. There is concentration at the core and a convincing freshness.",France,Gewürztraminer,90,29.0
57290,"Aromas of dark berry, baking spice, Alpine herb, graphite, iris and a whiff of game take center stage. The warm, enveloping palate delivers fleshy black cherry, crushed raspberry, clove, white pepper and anisette alongside velvety tannins and nervous acidity. Drink 2016–2026.",Italy,Nebbiolo,91,125.0
115244,"This wine makes reference to certain vineyards in France's cult Côte-Rôtie. The flavors are immaculate, suggesting fully ripened blackberries and currants, grilled wild mushrooms, black pepper and sweet oak. The tannins are thick and tough, but beautiful enough to warrant aging. One troubling aspect is acidity. It's very strong, and may take some time to smoothen out.",US,Syrah,88,45.0
69036,"Intensely aromatic, with gooseberries, cat pee and a strong dose of flint smoke all rounded out by pink grapefruit flavors that persist on the finish.",Italy,Sauvignon Blanc,89,22.0
113373,"This is a soft, simple wine. It shows good Gewürztraminer character in its spiciness, but it's mild in flavor, with a sweet finish.",US,Gewürztraminer,82,18.0
75711,"Pithy, with grapefruit and lemon peel flavors, this wine is deceptively crisp and light on the nose, offering a wealth of body and lushness on the palate, accented with nutmeg and peach. It includes 4% Sémillon, partly from the winery's beloved To Kalon vineyard.",US,Fumé Blanc,90,20.0
85941,"This dry wine made from Syrah, Zinfandel and Petite Sirah is smooth and gentle, nicely fruity but also spiced with touches of black pepper and clove. The mouthfeel is especially silky so it's easy to sip and enjoy.",US,Red Blend,88,25.0
61765,"This is a soft, gentle Pinot with a plum jelly flavor derived from a touch of sweetness in its fruit. Drink now.",France,Pinot Noir,84,12.0
19540,"Dark-skinned berry, underbrush and star anise set the tone of this full-bodied red. The palate is juicy and polished, full of ripe black cherry, tobacco, clove and tangerine zest flavors, ribbed with fine-grained tannins. Drink 2019–2025.",Italy,Sangiovese,90,110.0
90498,"A dusty, plummy, dark berry pie Petite Sirah from old vines grown in the Santa Clara Valley by the Guglielmo family, who have been based here since 1925. With lots of bittersweet chocolate, white pepper and well-integrated oak, this Petite is subtle, its alcohol relatively low and its tannins quite refined, a Petite for French palates.",US,Petite Sirah,90,25.0
103015,"Dusty berry aromas blend with mint and herbal notes. This Tempranillo feels grabby and pinched; flavors of baked black fruits, vanilla and dill are earthy on the finish, which is chunky but generally balanced.",Spain,Tempranillo Blend,85,17.0
102084,"Made with 55% Cabernet Sauvignon, 25% Cabernet Franc, 15% Merlot and 5% Petit Verdot, this opens with aromas of black currant and baking spice. The evolved palate provides mature plum, oak and toast alongside gripping, rather drying tannins.",Italy,Red Blend,87,49.0
59730,"Showing copper reflections, this vibrant wine offers enticing scents of white wildflower and orchard fruit. The savory palate presents poached Bartlett pear, nectarine zest and a mineral note accompanied by firm acidity.",Italy,Pinot Grigio,88,24.0
66014,"The producer adds a small percentage of Pinot Blanc to the wine to great effect, combining seamlessly with the Sauvignon Blanc and resulting in notes of honeydew, green fig and subtle herb. The blend offers layers that are both fresh and fruity.",US,Sauvignon Blanc,90,25.0
32669,"Lots of sweet, smoky oak on this wine, with flavors of pineapples, peaches, limes, vanilla and honey. It's balanced with crisp acidity. Drink now.",US,Chardonnay,87,22.0
29550,"An attractively simple, fruity Pinot Noir. It has ripe wild strawberry and red plum flavors, spiced with a gamy edge. The wine has a light structure, and is not for aging.",France,Pinot Noir,84,12.0
12772,"A beautifully balanced, elegant Pinot Noir from a great appellation that's ready to drink now. It's dry and firm in acidity, with complex flavors of cherries and raspberries, although to overemphasize the fruit gives the wrong impression. Also prominent are minerals, flowers and herbs.",US,Pinot Noir,90,40.0
112255,"This is a very delicious and accessible wine for all palates, both lavish in style and complex. Candied blackberry, fragrant rose and fennel pollen aromas introduce a palate of baked red fruit, maple syrup and brown sugar flavors. That fruit-forward richness is balanced by extreme floral character and lively acidity.",US,Merlot,93,35.0
123949,"From Mt. Eden and Wente clones grown at 1,700 feet, this under-$30 bottling shows key lime and pomelo pith freshness on the nose, backed by chalk, crushed sea shell and tangerine blossom aromas. There is a fine-grained texture to the tannins on the palate, where bright citrus fruit meets with marcona almond touches. It's simultaneously refreshing and savory.",US,Chardonnay,93,28.0
126531,"Underbrush, stewed prune, grilled herb and cedar aromas take center stage on this big bold wine. The densely packed syrupy palate offers blackberry, raisin, black cherry steeped in spirits and chewing tobacco alongside chewy tannins. The heat of alcohol and a confectionery note mark the finish.",Italy,Red Blend,91,125.0
92480,"This 100% estate-grown Merlot opens with meaty aromas of plum and black cherry. There is a pleasant, roasted character to the flavors, with nutmeg and cinnamon spice. Still youthful and tight, this breathes open into a supple wine with a finishing streak of pencil lead.",US,Merlot,90,22.0
117290,"Fermented in a mix of stainless and neutral oak, this modestly-ripened wine offers clean apple fruit with a touch of white peaches. A bit more bottle age might help pull it together further.",US,Chardonnay,87,22.0
72924,"There's a ton of inviting baking spices on the nose of this bottling, from crushed clove to nutmeg, as well as lushly stewed strawberries, bacon fat and purple flowers. It's rich and thick once sipped, certainly not a dainty wine, with baked black cherry and mace spice flavors proving hearty and delicious.",US,Pinot Noir,91,44.0
114845,"From the almost-extinct Pallagrello grape, this luminous white wine really holds its own in terms of personality and uniqueness. There are pretty mineral tones here but thanks to the wine's age (from the 2006 vintage), you'll also get more complex notes of butterscotch, caramel and apricot. You can feel the high alcohol on the close.",Italy,Pallagrello,87,19.0
